energy#1, (U= 1500.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
 276   0.18422692E+02     -0.64094970E-02       0.33218214E+00        0.21555695E+06      0.92892874E-06      0.12656542E-11       0       0
 278   0.18556190E+02     -0.61233060E-02       0.31964934E+00        0.21551223E+06      0.78912748E-06      0.84376950E-12       0       0
 280   0.18689688E+02     -0.58545178E-02       0.30767151E+00        0.21544515E+06      0.67074773E-06      0.91038288E-12       0       0
 282   0.18823186E+02     -0.56024222E-02       0.29621457E+00        0.21537807E+06      0.57055659E-06      0.11546319E-11       0       0
 284   0.18956684E+02     -0.53659497E-02       0.28524620E+00        0.21531099E+06      0.48575056E-06      0.77715612E-12       0       0
 286   0.19090181E+02     -0.51440452E-02       0.27473621E+00        0.21526626E+06      0.41396120E-06      0.86597396E-12       0       0
 288   0.19223679E+02     -0.49356626E-02       0.26465650E+00        0.21519918E+06      0.35316637E-06      0.73274720E-12       0       0
 290   0.19357177E+02     -0.47397550E-02       0.25498108E+00        0.21513210E+06      0.30163056E-06      0.83266727E-12       0       0
 292   0.19490675E+02     -0.45552579E-02       0.24568607E+00        0.21508738E+06      0.25787382E-06      0.59952043E-12       0       0
 294   0.19624172E+02     -0.43810554E-02       0.23674975E+00        0.21502030E+06      0.22065178E-06      0.79936058E-12       0       0
 296   0.19757670E+02     -0.42158884E-02       0.22815281E+00        0.21495321E+06      0.18892746E-06      0.55511151E-12       0       0
 298   0.19891168E+02     -0.40579842E-02       0.21987894E+00        0.21488613E+06      0.16185101E-06      0.13100632E-11       0       0
 300   0.20024666E+02     -0.39062964E-02       0.21191466E+00        0.21484141E+06      0.13872119E-06      0.10658141E-11       0       0
 302   0.20158163E+02     -0.37606425E-02       0.20424772E+00        0.21477433E+06      0.11895657E-06      0.51070259E-12       0       0
 304   0.20291661E+02     -0.36208548E-02       0.19686622E+00        0.21470725E+06      0.10205439E-06      0.73274720E-12       0       0
 306   0.20425159E+02     -0.34867756E-02       0.18975859E+00        0.21464017E+06      0.87598687E-07      0.97699626E-12       0       0
 308   0.20558657E+02     -0.33582599E-02       0.18291355E+00        0.21457308E+06      0.75235653E-07      0.81046281E-12       0       0
 310   0.20692155E+02     -0.32351808E-02       0.17632011E+00        0.21450600E+06      0.64655222E-07      0.47739590E-12       0       0
 312   0.20825652E+02     -0.31174399E-02       0.16996749E+00        0.21446128E+06      0.55602472E-07      0.55511151E-12       0       0
 314   0.20959150E+02     -0.30049956E-02       0.16384506E+00        0.21439420E+06      0.47855898E-07      0.13544721E-11       0       0
