energy#1, (U= 300.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
 163   0.40348718E+02      0.00000000E+00      -0.29802322E-07        0.17158500E+06      0.65040413E-12      0.00000000E+00       0       0
 164   0.40596257E+02     -0.14901161E-07      -0.37252903E-07        0.17196000E+06      0.17925772E-11      0.00000000E+00       0       0
 165   0.40843795E+02      0.00000000E+00      -0.44703484E-07        0.17235000E+06      0.75351698E-12      0.00000000E+00       0       0
 166   0.41091333E+02      0.00000000E+00      -0.44703484E-07        0.17272500E+06      0.71385819E-12      0.00000000E+00       0       0
 167   0.41338871E+02      0.14901161E-07      -0.37252903E-07        0.17310000E+06      0.66626765E-12      0.00000000E+00       0       0
 168   0.41586409E+02     -0.14901161E-07      -0.37252903E-07        0.17349000E+06      0.18243043E-11      0.00000000E+00       0       0
 169   0.41833947E+02      0.00000000E+00      -0.44703484E-07        0.17386500E+06      0.54729128E-12      0.00000000E+00       0       0
 170   0.42081486E+02      0.14901161E-07      -0.37252903E-07        0.17424000E+06      0.13166718E-11      0.00000000E+00       0       0
 171   0.42329024E+02      0.00000000E+00      -0.29802322E-07        0.17461500E+06      0.57108655E-12      0.00000000E+00       0       0
 172   0.42576562E+02      0.14901161E-07      -0.22351742E-07        0.17499000E+06      0.69799468E-12      0.00000000E+00       0       0
 173   0.42824100E+02      0.00000000E+00      -0.14901161E-07        0.17536500E+06      0.10152650E-11      0.00000000E+00       0       0
 174   0.43071638E+02      0.00000000E+00      -0.14901161E-07        0.17574000E+06      0.50763249E-12      0.00000000E+00       0       0
 175   0.43319176E+02      0.00000000E+00      -0.14901161E-07        0.17611500E+06      0.84869807E-12      0.00000000E+00       0       0
 176   0.43566714E+02      0.00000000E+00      -0.14901161E-07        0.17647500E+06      0.14277164E-11      0.00000000E+00       0       0
 177   0.43814253E+02      0.00000000E+00      -0.14901161E-07        0.17685000E+06      0.10469920E-11      0.00000000E+00       0       0
 178   0.44061791E+02      0.00000000E+00      -0.14901161E-07        0.17722500E+06      0.63454062E-12      0.00000000E+00       0       0
 179   0.44309329E+02      0.00000000E+00      -0.14901161E-07        0.17758500E+06      0.82490280E-12      0.00000000E+00       0       0
 180   0.44556867E+02      0.14901161E-07      -0.74505806E-08        0.17796000E+06      0.67419940E-12      0.00000000E+00       0       0
 181   0.44804405E+02      0.00000000E+00       0.00000000E+00        0.17832000E+06      0.60281358E-12      0.00000000E+00       0       0
 182   0.45051943E+02      0.00000000E+00       0.00000000E+00        0.17869500E+06      0.44417843E-12      0.00000000E+00       0       0
 183   0.45299481E+02     -0.14901161E-07      -0.74505806E-08        0.17905500E+06      0.11739001E-11      0.00000000E+00       0       0
 184   0.45547020E+02      0.00000000E+00      -0.14901161E-07        0.17943000E+06      0.12294224E-11      0.00000000E+00       0       0
 185   0.45794558E+02      0.00000000E+00      -0.14901161E-07        0.17979000E+06      0.74558522E-12      0.00000000E+00       0       0
 186   0.46042096E+02     -0.14901161E-07      -0.22351742E-07        0.18015000E+06      0.71385819E-12      0.00000000E+00       0       0
 187   0.46289634E+02      0.00000000E+00      -0.29802322E-07        0.18051000E+06      0.65040413E-12      0.00000000E+00       0       0
 188   0.46537172E+02      0.14901161E-07      -0.22351742E-07        0.18088500E+06      0.84076632E-12      0.00000000E+00       0       0
 189   0.46784710E+02      0.00000000E+00      -0.14901161E-07        0.18124500E+06      0.84869807E-12      0.00000000E+00       0       0
 190   0.47032249E+02      0.00000000E+00      -0.14901161E-07        0.18160500E+06      0.10152650E-11      0.00000000E+00       0       0
 191   0.47279787E+02      0.00000000E+00      -0.14901161E-07        0.18196500E+06      0.27285246E-11      0.00000000E+00       0       0
 192   0.47527325E+02      0.00000000E+00      -0.14901161E-07        0.18232500E+06      0.14991022E-11      0.00000000E+00       0       0
 193   0.47774863E+02      0.00000000E+00      -0.14901161E-07        0.18268500E+06      0.65040413E-12      0.00000000E+00       0       0
 194   0.48022401E+02      0.14901161E-07      -0.74505806E-08        0.18304500E+06      0.20939840E-11      0.00000000E+00       0       0
 195   0.48269939E+02      0.00000000E+00       0.00000000E+00        0.18339000E+06      0.22684827E-11      0.00000000E+00       0       0
 196   0.48517477E+02      0.00000000E+00       0.00000000E+00        0.18375000E+06      0.72972171E-12      0.00000000E+00       0       0
 197   0.48765016E+02      0.00000000E+00       0.00000000E+00        0.18411000E+06      0.66626765E-12      0.00000000E+00       0       0
 198   0.49012554E+02      0.00000000E+00       0.00000000E+00        0.18447000E+06      0.11183778E-11      0.00000000E+00       0       0
 199   0.49260092E+02      0.00000000E+00       0.00000000E+00        0.18481500E+06      0.87249335E-12      0.00000000E+00       0       0
 200   0.49507630E+02      0.00000000E+00       0.00000000E+00        0.18517500E+06      0.59488183E-12      0.00000000E+00       0       0
 
energy#2, (U= 600.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.52355730E+02        0.34132044E+05      0.10589692E-04      0.33290670E-06       0       0
   1   0.17503590E+00      0.30192831E+01      -0.49275292E+02        0.34132044E+05      0.89529179E-05      0.33099210E-06       0       0
   2   0.35007181E+00      0.29297056E+01      -0.46300797E+02        0.34142651E+05      0.36775364E-05      0.32706240E-06       0       0
   3   0.52510771E+00      0.28418459E+01      -0.43415022E+02        0.34163864E+05      0.77179521E-05      0.32111500E-06       0       0
   4   0.70014362E+00      0.27544438E+01      -0.40616877E+02        0.34185077E+05      0.12102596E-04      0.31317071E-06       0       0
   5   0.87517952E+00      0.26671301E+01      -0.37906090E+02        0.34227504E+05      0.24047148E-04      0.30315948E-06       0       0
   6   0.10502154E+01      0.25797155E+01      -0.35282667E+02        0.34259324E+05      0.41622952E-04      0.29112033E-06       0       0
   7   0.12252513E+01      0.24920562E+01      -0.32746781E+02        0.34312357E+05      0.74834492E-04      0.27715625E-06       0       0
   8   0.14002872E+01      0.24040163E+01      -0.30298745E+02        0.34375996E+05      0.11459979E-03      0.26132863E-06       0       0
   9   0.15753231E+01      0.23154556E+01      -0.27939009E+02        0.34450242E+05      0.17337998E-03      0.24395381E-06       0       0
  10   0.17503590E+01      0.22262330E+01      -0.25668165E+02        0.34524489E+05      0.24317245E-03      0.22537177E-06       0       0
  11   0.19253950E+01      0.21362383E+01      -0.23486929E+02        0.34619948E+05      0.33000649E-03      0.20614912E-06       0       0
  12   0.21004309E+01      0.20455390E+01      -0.21396041E+02        0.34726014E+05      0.42981215E-03      0.18692503E-06       0       0
  13   0.22754668E+01      0.19542449E+01      -0.19396149E+02        0.34842687E+05      0.53895787E-03      0.16806270E-06       0       0
